cellIndex	x	z	P	Q	matNum	fixed
1	0.25	0.25	9.75	0	18	true
2	0.75	0.25	9.75	0	33	false
3	1.25	0.25	9.75	0	49	false
4	1.75	0.25	9.75	0	43	false
5	2.25	0.25	9.75	0	43	false
6	2.75	0.25	9.75	0	22	false
7	3.25	0.25	9.75	0	24	false
8	3.75	0.25	9.75	0	49	false
9	4.25	0.25	9.75	0	86	false
10	4.75	0.25	9.75	0	97	false
11	5.25	0.25	9.75	0	82	false
12	5.75	0.25	9.75	0	82	false
13	6.25	0.25	9.75	0	73	false
14	6.75	0.25	9.75	0	73	false
15	7.25	0.25	9.75	0	25	false
16	7.75	0.25	9.75	0	41	false
17	8.25	0.25	9.75	0	59	false
18	8.75	0.25	9.75	0	52	false
19	9.25	0.25	9.75	0	61	false
20	9.75	0.25	9.75	0	63	false
21	10.25	0.25	9.75	0	63	false
22	10.75	0.25	9.75	0	61	false
23	11.25	0.25	9.75	0	71	false
24	11.75	0.25	9.75	0	83	false
25	12.25	0.25	9.75	0	64	false
26	12.75	0.25	9.75	0	64	false
27	13.25	0.25	9.75	0	73	false
28	13.75	0.25	9.75	0	57	false
29	14.25	0.25	9.75	0	66	false
30	14.75	0.25	9.75	0	63	false
31	15.25	0.25	9.75	0	39	false
32	15.75	0.25	9.75	0	30	false
33	16.25	0.25	9.75	0	28	false
34	16.75	0.25	9.75	0	8	false
35	17.25	0.25	9.75	0	16	false
36	17.75	0.25	9.75	0	41	false
37	18.25	0.25	9.75	0	46	false
38	18.75	0.25	9.75	0	20	false
39	19.25	0.25	9.75	0	5	false
40	19.75	0.25	9.75	0	4	false
41	20.25	0.25	9.75	0	3	false
42	20.75	0.25	9.75	0	4	false
43	21.25	0.25	9.75	0	29	false
44	21.75	0.25	9.75	0	77	false
45	22.25	0.25	9.75	0	52	false
46	22.75	0.25	9.75	0	81	false
47	23.25	0.25	9.75	0	61	false
48	23.75	0.25	9.75	0	49	false
49	24.25	0.25	9.75	0	73	false
50	24.75	0.25	9.75	0	85	false
51	25.25	0.25	9.75	0	85	false
52	25.75	0.25	9.75	0	82	false
53	26.25	0.25	9.75	0	82	false
54	26.75	0.25	9.75	0	84	false
55	27.25	0.25	9.75	0	85	false
56	27.75	0.25	9.75	0	87	false
57	28.25	0.25	9.75	0	81	false
58	28.75	0.25	9.75	0	94	false
59	29.25	0.25	9.75	0	100	false
60	29.75	0.25	9.75	0	91	false
61	30.25	0.25	9.75	0	84	false
62	30.75	0.25	9.75	0	46	false
63	31.25	0.25	9.75	0	41	false
64	31.75	0.25	9.75	0	24	false
65	32.25	0.25	9.75	0	29	false
66	32.75	0.25	9.75	0	19	false
67	33.25	0.25	9.75	0	19	false
68	33.75	0.25	9.75	0	47	false
69	34.25	0.25	9.75	0	14	false
70	34.75	0.25	9.75	0	28	false
71	35.25	0.25	9.75	0	52	false
72	35.75	0.25	9.75	0	52	false
73	36.25	0.25	9.75	0	37	false
74	36.75	0.25	9.75	0	38	false
75	37.25	0.25	9.75	0	20	false
76	37.75	0.25	9.75	0	20	false
77	38.25	0.25	9.75	0	34	false
78	38.75	0.25	9.75	0	11	false
79	39.25	0.25	9.75	0	11	false
80	39.75	0.25	9.75	0	7	false
81	40.25	0.25	9.75	0	10	false
82	40.75	0.25	9.75	0	5	false
83	41.25	0.25	9.75	0	5	false
84	41.75	0.25	9.75	0	15	false
85	42.25	0.25	9.75	0	11	false
86	42.75	0.25	9.75	0	10	false
87	43.25	0.25	9.75	0	24	false
88	43.75	0.25	9.75	0	8	false
89	44.25	0.25	9.75	0	28	false
90	44.75	0.25	9.75	0	10	false
91	45.25	0.25	9.75	0	9	false
92	45.75	0.25	9.75	0	15	false
93	46.25	0.25	9.75	0	3	false
94	46.75	0.25	9.75	0	8	false
95	47.25	0.25	9.75	0	8	false
96	47.75	0.25	9.75	0	4	false
97	48.25	0.25	9.75	0	17	false
98	48.75	0.25	9.75	0	21	false
99	49.25	0.25	9.75	0	31	false
100	49.75	0.25	9.75	0	31	false
101	0.25	0.75	9.25	0	18	true
102	0.75	0.75	9.25	0	33	false
103	1.25	0.75	9.25	0	6	false
104	1.75	0.75	9.25	0	20	false
105	2.25	0.75	9.25	0	24	false
106	2.75	0.75	9.25	0	20	false
107	3.25	0.75	9.25	0	24	false
108	3.75	0.75	9.25	0	33	false
109	4.25	0.75	9.25	0	89	false
110	4.75	0.75	9.25	0	97	false
111	5.25	0.75	9.25	0	82	false
112	5.75	0.75	9.25	0	70	false
113	6.25	0.75	9.25	0	73	false
114	6.75	0.75	9.25	0	20	false
115	7.25	0.75	9.25	0	25	false
116	7.75	0.75	9.25	0	41	false
117	8.25	0.75	9.25	0	59	false
118	8.75	0.75	9.25	0	52	false
119	9.25	0.75	9.25	0	60	false
120	9.75	0.75	9.25	0	80	false
121	10.25	0.75	9.25	0	80	false
122	10.75	0.75	9.25	0	61	false
123	11.25	0.75	9.25	0	71	false
124	11.75	0.75	9.25	0	83	false
125	12.25	0.75	9.25	0	64	false
126	12.75	0.75	9.25	0	73	false
127	13.25	0.75	9.25	0	73	false
128	13.75	0.75	9.25	0	57	false
129	14.25	0.75	9.25	0	66	false
130	14.75	0.75	9.25	0	63	false
131	15.25	0.75	9.25	0	74	false
132	15.75	0.75	9.25	0	35	false
133	16.25	0.75	9.25	0	28	false
134	16.75	0.75	9.25	0	8	false
135	17.25	0.75	9.25	0	16	false
136	17.75	0.75	9.25	0	41	false
137	18.25	0.75	9.25	0	46	false
138	18.75	0.75	9.25	0	20	false
139	19.25	0.75	9.25	0	5	false
140	19.75	0.75	9.25	0	4	false
141	20.25	0.75	9.25	0	7	false
142	20.75	0.75	9.25	0	4	false
143	21.25	0.75	9.25	0	29	false
144	21.75	0.75	9.25	0	77	false
145	22.25	0.75	9.25	0	52	false
146	22.75	0.75	9.25	0	81	false
147	23.25	0.75	9.25	0	61	false
148	23.75	0.75	9.25	0	56	false
149	24.25	0.75	9.25	0	73	false
150	24.75	0.75	9.25	0	64	false
151	25.25	0.75	9.25	0	81	false
152	25.75	0.75	9.25	0	82	false
153	26.25	0.75	9.25	0	82	false
154	26.75	0.75	9.25	0	84	false
155	27.25	0.75	9.25	0	78	false
156	27.75	0.75	9.25	0	91	false
157	28.25	0.75	9.25	0	81	false
158	28.75	0.75	9.25	0	94	false
159	29.25	0.75	9.25	0	84	false
160	29.75	0.75	9.25	0	82	false
161	30.25	0.75	9.25	0	73	false
162	30.75	0.75	9.25	0	46	false
163	31.25	0.75	9.25	0	38	false
164	31.75	0.75	9.25	0	30	false
165	32.25	0.75	9.25	0	29	false
166	32.75	0.75	9.25	0	19	false
167	33.25	0.75	9.25	0	66	false
168	33.75	0.75	9.25	0	47	false
169	34.25	0.75	9.25	0	51	false
170	34.75	0.75	9.25	0	29	false
171	35.25	0.75	9.25	0	52	false
172	35.75	0.75	9.25	0	77	false
173	36.25	0.75	9.25	0	37	false
174	36.75	0.75	9.25	0	38	false
175	37.25	0.75	9.25	0	40	false
176	37.75	0.75	9.25	0	40	false
177	38.25	0.75	9.25	0	34	false
178	38.75	0.75	9.25	0	26	false
179	39.25	0.75	9.25	0	11	false
180	39.75	0.75	9.25	0	7	false
181	40.25	0.75	9.25	0	10	false
182	40.75	0.75	9.25	0	5	false
183	41.25	0.75	9.25	0	14	false
184	41.75	0.75	9.25	0	15	false
185	42.25	0.75	9.25	0	11	false
186	42.75	0.75	9.25	0	10	false
187	43.25	0.75	9.25	0	7	false
188	43.75	0.75	9.25	0	4	false
189	44.25	0.75	9.25	0	28	false
190	44.75	0.75	9.25	0	10	false
191	45.25	0.75	9.25	0	9	false
192	45.75	0.75	9.25	0	5	false
193	46.25	0.75	9.25	0	3	false
194	46.75	0.75	9.25	0	4	false
195	47.25	0.75	9.25	0	4	false
196	47.75	0.75	9.25	0	4	false
197	48.25	0.75	9.25	0	25	false
198	48.75	0.75	9.25	0	26	false
199	49.25	0.75	9.25	0	31	false
200	49.75	0.75	9.25	0	29	false
201	0.25	1.25	8.75	0	18	true
202	0.75	1.25	8.75	0	26	false
203	1.25	1.25	8.75	0	14	false
204	1.75	1.25	8.75	0	20	false
205	2.25	1.25	8.75	0	24	false
206	2.75	1.25	8.75	0	21	false
207	3.25	1.25	8.75	0	10	false
208	3.75	1.25	8.75	0	33	false
209	4.25	1.25	8.75	0	89	false
210	4.75	1.25	8.75	0	94	false
211	5.25	1.25	8.75	0	82	false
212	5.75	1.25	8.75	0	70	false
213	6.25	1.25	8.75	0	50	false
214	6.75	1.25	8.75	0	1	false
215	7.25	1.25	8.75	0	25	false
216	7.75	1.25	8.75	0	41	false
217	8.25	1.25	8.75	0	59	false
218	8.75	1.25	8.75	0	54	false
219	9.25	1.25	8.75	0	60	false
220	9.75	1.25	8.75	0	85	false
221	10.25	1.25	8.75	0	85	false
222	10.75	1.25	8.75	0	61	false
223	11.25	1.25	8.75	0	80	false
224	11.75	1.25	8.75	0	77	false
225	12.25	1.25	8.75	0	79	false
226	12.75	1.25	8.75	0	67	false
227	13.25	1.25	8.75	0	73	false
228	13.75	1.25	8.75	0	57	false
229	14.25	1.25	8.75	0	66	false
230	14.75	1.25	8.75	0	63	false
231	15.25	1.25	8.75	0	74	false
232	15.75	1.25	8.75	0	35	false
233	16.25	1.25	8.75	0	28	false
234	16.75	1.25	8.75	0	65	false
235	17.25	1.25	8.75	0	16	false
236	17.75	1.25	8.75	0	41	false
237	18.25	1.25	8.75	0	67	false
238	18.75	1.25	8.75	0	20	false
239	19.25	1.25	8.75	0	1	false
240	19.75	1.25	8.75	0	19	false
241	20.25	1.25	8.75	0	7	false
242	20.75	1.25	8.75	0	4	false
243	21.25	1.25	8.75	0	29	false
244	21.75	1.25	8.75	0	92	false
245	22.25	1.25	8.75	0	80	false
246	22.75	1.25	8.75	0	81	false
247	23.25	1.25	8.75	0	61	false
248	23.75	1.25	8.75	0	56	false
249	24.25	1.25	8.75	0	60	false
250	24.75	1.25	8.75	0	64	false
251	25.25	1.25	8.75	0	81	false
252	25.75	1.25	8.75	0	87	false
253	26.25	1.25	8.75	0	82	false
254	26.75	1.25	8.75	0	76	false
255	27.25	1.25	8.75	0	90	false
256	27.75	1.25	8.75	0	91	false
257	28.25	1.25	8.75	0	99	false
258	28.75	1.25	8.75	0	93	false
259	29.25	1.25	8.75	0	82	false
260	29.75	1.25	8.75	0	79	false
261	30.25	1.25	8.75	0	73	false
262	30.75	1.25	8.75	0	46	false
263	31.25	1.25	8.75	0	38	false
264	31.75	1.25	8.75	0	45	false
265	32.25	1.25	8.75	0	48	false
266	32.75	1.25	8.75	0	48	false
267	33.25	1.25	8.75	0	66	false
268	33.75	1.25	8.75	0	47	false
269	34.25	1.25	8.75	0	51	false
270	34.75	1.25	8.75	0	60	false
271	35.25	1.25	8.75	0	61	false
272	35.75	1.25	8.75	0	77	false
273	36.25	1.25	8.75	0	37	false
274	36.75	1.25	8.75	0	38	false
275	37.25	1.25	8.75	0	66	false
276	37.75	1.25	8.75	0	66	false
277	38.25	1.25	8.75	0	34	false
278	38.75	1.25	8.75	0	26	false
279	39.25	1.25	8.75	0	32	false
280	39.75	1.25	8.75	0	5	false
281	40.25	1.25	8.75	0	2	false
282	40.75	1.25	8.75	0	27	false
283	41.25	1.25	8.75	0	14	false
284	41.75	1.25	8.75	0	21	false
285	42.25	1.25	8.75	0	11	false
286	42.75	1.25	8.75	0	8	false
287	43.25	1.25	8.75	0	7	false
288	43.75	1.25	8.75	0	4	false
289	44.25	1.25	8.75	0	6	false
290	44.75	1.25	8.75	0	5	false
291	45.25	1.25	8.75	0	9	false
292	45.75	1.25	8.75	0	18	false
293	46.25	1.25	8.75	0	3	false
294	46.75	1.25	8.75	0	19	false
295	47.25	1.25	8.75	0	19	false
296	47.75	1.25	8.75	0	4	false
