name	Kh	Kz	alpha	N	sr
m1	0.004645956	0.004645956	0.999588583	1.208548713	0.278728149
m2	0.011668478	0.011668478	1.201625435	1.356864577	0.252340761
m3	0.013571258	0.013571258	1.238464984	1.382875767	0.248257268
m4	0.015170538	0.015170538	1.266353842	1.402376561	0.245288301
m5	0.016749983	0.016749983	1.29167557	1.419944682	0.24267855
m6	0.018692088	0.018692088	1.320314439	1.439660894	0.239820276
m7	0.020810689	0.020810689	1.348958033	1.459222202	0.237055483
m8	0.022961529	0.022961529	1.375742126	1.477374578	0.234550766
m9	0.024778322	0.024778322	1.396844119	1.491583792	0.23262971
m10	0.026716803	0.026716803	1.41803579	1.505773429	0.230744957
m11	0.028676722	0.028676722	1.438245821	1.519232623	0.22898749
m12	0.030530605	0.030530605	1.456369521	1.531242802	0.227443494
m13	0.032698251	0.032698251	1.47647612	1.544502277	0.225764833
m14	0.035101841	0.035101841	1.497560649	1.558334865	0.224041935
m15	0.038062082	0.038062082	1.521995725	1.574275483	0.222091403
m16	0.040832102	0.040832102	1.54351986	1.58823857	0.220412771
m17	0.04462298	0.04462298	1.571157529	1.606062091	0.218309491
m18	0.048599154	0.048599154	1.59819605	1.623386943	0.216306237
m19	0.052404137	0.052404137	1.62246057	1.638841948	0.214552442
m20	0.056232831	0.056232831	1.64549272	1.65343283	0.212924692
m21	0.058705684	0.058705684	1.659709716	1.662401472	0.211937343
m22	0.061595561	0.061595561	1.675729448	1.672473253	0.21084029
m23	0.065414022	0.065414022	1.695998944	1.685165836	0.209475141
m24	0.068813242	0.068813242	1.713261321	1.695931053	0.208332183
m25	0.073235245	0.073235245	1.734724569	1.709260046	0.20693558
m26	0.079382356	0.079382356	1.76290049	1.726665154	0.205142079
m27	0.082403	0.082403	1.77611051	1.734789791	0.204316338
m28	0.085438348	0.085438348	1.789000151	1.74269579	0.203519691
m29	0.089618065	0.089618065	1.806162606	1.753189826	0.202472582
m30	0.094759914	0.094759914	1.82641827	1.765527713	0.201256298
m31	0.099418055	0.099418055	1.844022771	1.77620956	0.20021596
m32	0.104299394	0.104299394	1.86177632	1.786943577	0.199182193
m33	0.110295586	0.110295586	1.882696627	1.799543615	0.197983348
m34	0.120896471	0.120896471	1.917553358	1.820422574	0.196030781
m35	0.127829946	0.127829946	1.939049212	1.833228237	0.194853684
m36	0.137289361	0.137289361	1.966919503	1.849753151	0.193357116
m37	0.144237087	0.144237087	1.986426291	1.861267488	0.192328938
m38	0.153932156	0.153932156	2.012426888	1.876549908	0.190982411
m39	0.160858564	0.160858564	2.030210956	1.886960696	0.190076738
m40	0.16977844	0.16977844	2.052232179	1.899805124	0.188972074
m41	0.179031533	0.179031533	2.074118603	1.912520335	0.187892114
m42	0.189880964	0.189880964	2.098656743	1.926717026	0.186701991
m43	0.203171449	0.203171449	2.127231342	1.943171617	0.185342823
m44	0.2172103	0.2172103	2.155834257	1.959560551	0.184010183
m45	0.230505421	0.230505421	2.181588996	1.974248603	0.182833334
m46	0.245154032	0.245154032	2.208624259	1.989597869	0.181620776
m47	0.258102584	0.258102584	2.231465954	2.002511959	0.180613982
m48	0.268895264	0.268895264	2.249814161	2.012850046	0.179816675
m49	0.281221145	0.281221145	2.270061711	2.024222043	0.178948376
m50	0.301420136	0.301420136	2.301757193	2.041948445	0.177612832
m51	0.322898503	0.322898503	2.333647594	2.059692653	0.176297361
m52	0.344062594	0.344062594	2.363452083	2.076195035	0.175092723
m53	0.360538993	0.360538993	2.385655485	2.088438623	0.174210409
m54	0.38852419	0.38852419	2.42157344	2.108155638	0.172809571
m55	0.411242758	0.411242758	2.449239284	2.123268766	0.171752209
m56	0.431672811	0.431672811	2.473092711	2.136248471	0.170855214
m57	0.458131647	0.458131647	2.502677755	2.152282624	0.169761026
m58	0.484640211	0.484640211	2.530977712	2.167554589	0.16873285
m59	0.51171246	0.51171246	2.558628715	2.182415246	0.167745213
m60	0.541397668	0.541397668	2.587634295	2.19793998	0.166726707
m61	0.565967093	0.565967093	2.610693758	2.210236116	0.165929458
m62	0.603787514	0.603787514	2.644671353	2.228280986	0.164774293
m63	0.644388612	0.644388612	2.679301766	2.246584226	0.163620221
m64	0.696521298	0.696521298	2.721294604	2.268661358	0.162251241
m65	0.779242612	0.779242612	2.78303293	2.300891169	0.160296593
m66	0.84854539	0.84854539	2.830838686	2.325665642	0.158828354
m67	0.896948555	0.896948555	2.862405805	2.341939646	0.157879611
m68	0.949008734	0.949008734	2.894871487	2.358607553	0.156920528
m69	1.011932651	1.011932651	2.932262055	2.377718172	0.155836279
m70	1.069597553	1.069597553	2.964927866	2.394340017	0.154906321
m71	1.126580265	1.126580265	2.995851108	2.410012641	0.154040398
m72	1.20811764	1.20811764	3.037991874	2.431274244	0.152882278
m73	1.323927405	1.323927405	3.094094842	2.459411198	0.151378296
m74	1.429711657	1.429711657	3.142006944	2.483290636	0.150126759
m75	1.554269377	1.554269377	3.194913315	2.509502741	0.148778475
m76	1.696539194	1.696539194	3.251343068	2.537283537	0.147377791
m77	1.857687147	1.857687147	3.310858283	2.566390107	0.145940525
m78	1.972915138	1.972915138	3.350928367	2.585877493	0.14499507
m79	2.159978777	2.159978777	3.412160299	2.615490336	0.143583455
m80	2.41947734	2.41947734	3.490429845	2.653057237	0.14183487
m81	2.608080776	2.608080776	3.543199037	2.678208439	0.140689689
m82	2.819723454	2.819723454	3.598895667	2.704604578	0.139509133
m83	3.057926823	3.057926823	3.657714877	2.732316499	0.13829256
m84	3.379543259	3.379543259	3.731570834	2.766879665	0.136806987
m85	3.773968112	3.773968112	3.814827803	2.8055393	0.135185694
m86	4.315322945	4.315322945	3.918430362	2.853211671	0.133242725
m87	4.94330018	4.94330018	4.026307766	2.902356488	0.13130193
m88	5.563112057	5.563112057	4.122512713	2.945772938	0.129637492
m89	6.346737462	6.346737462	4.232557097	2.994976518	0.127805483
m90	7.28498098	7.28498098	4.350833015	3.047334106	0.125916509
m91	8.072057584	8.072057584	4.440983153	3.086887059	0.124529041
m92	8.932442986	8.932442986	4.531812441	3.12643771	0.123174315
m93	10.56102802	10.56102802	4.686103129	3.192954195	0.120966377
m94	12.06963545	12.06963545	4.812864501	3.246996157	0.119234511
m95	14.13957899	14.13957899	4.967584071	3.312246768	0.117213546
m96	16.9665298	16.9665298	5.151914172	3.389008537	0.114928806
m97	20.12097959	20.12097959	5.330555052	3.462434082	0.112831624
m98	24.1954384	24.1954384	5.530715253	3.543627963	0.110606774
m99	33.66820646	33.66820646	5.908323252	3.693893512	0.106729674
m100	62.09683037	62.09683037	6.677402469	3.989345473	0.09990183
